design,a [mm],b [mm],c [mm],gamma [rad],gamma_RU [rad],d  [mm],s* [],S_cell [mm^2],S_ru [mm^2],S_ru/S_cell [],length_RU_b [mm],S_cell_reduced [mm^2]
0,22.825356391083684,24,7.416407864998747,0.3141592653589793,0.36249444061933345,1,2.1869569140616294,169.2821526602322,88.58386260364792,0.5232912106301331,14.487847361857648,145.28215266023227
1,22.825356391083684,24,7.416407864998747,0.3141592653589793,0.38660764548351834,1.7269203979145853,1.7848081208735191,169.2821526602322,46.18224174717353,0.27281223106765623,9.670509267767818,127.8360631102822
2,22.825356391083684,24,7.416407864998747,0.3141592653589793,0.45839821005662584,2.4538407958291706,1.3826593276854129,169.2821526602322,17.469084852391244,0.1031950774365069,4.869927058172992,110.38997356033214
3,22.825356391083684,24,7.416407864998747,0.3141592653589793,1.8941407605063167,3.1807611937437557,1.0194894655026985,169.2821526602322,2.4443919193007915,0.014439749736683424,0.7000295295992358,92.94388401038779
4,16.970562748477143,24,16.970562748477136,0.7853981633974483,0.8224264279445006,1,2.5163197453304784,288.00000000000006,211.88730162779203,0.7357197973187222,18.908798317527758,264.00000000000006
5,16.970562748477143,24,16.970562748477136,0.7853981633974483,0.8393190834855779,2.735816023555207,2.0224491945465846,288.00000000000006,107.44812209962119,0.37308375729035126,12.988267230471997,222.34041543467498
6,16.970562748477143,24,16.970562748477136,0.7853981633974483,0.8844630754178011,4.471632047110414,1.5285786437626923,288.00000000000006,38.13171198559906,0.1324017777277745,7.077644828307099,180.68083086935002
7,16.970562748477143,24,16.970562748477136,0.7853981633974483,1.3454062980936428,6.207448071,1.0347080929787973,288.00000000000006,3.9380712857252966,0.013673858630990611,1.3177882263353873,139.02124630402525
8,12.000000000000004,24,20.784609690826525,1.0471975511965976,1.0845498703684584,1,2.4599431359276074,249.41531628991842,182.61146871262497,0.7321581987385202,18.744828028337498,225.4153162899184
9,12.000000000000004,24,20.784609690826525,1.0471975511965976,1.1014803840873824,2.6884609690826533,1.972526438419585,249.41531628991842,93.40299329854922,0.3744878008613485,12.901756484463537,184.89225303193479
10,12.000000000000004,24,20.784609690826525,1.0471975511965976,1.146391068132221,4.376921938165307,1.485109740911562,249.41531628991842,33.82194438364594,0.13560492148898978,7.068498681871524,144.36918977395104
11,12.000000000000004,24,20.784609690826525,1.0471975511965976,1.580855205575041,6.065382907247959,1.0023069565964604,249.41531628991842,3.8683219679154988,0.015509560621445522,1.376095020561705,103.84612651596758
12,7.416407864998739,24,22.825356391083684,1.2566370614359172,1.2976619409511756,1,2.241572057893167,169.28215266023227,112.27978430835239,0.663270064,17.067603892767536,145.28215266023227
13,7.416407864998739,24,22.825356391083684,1.2566370614359172,1.3164902912048062,2.2060749909614614,1.793910644845444,169.28215266023227,59.04367737889105,0.34878855479465776,11.702261100708698,116.33635287715717
14,7.416407864998739,24,22.825356391083684,1.2566370614359172,1.3671312945641767,3.4121499819229224,1.3462492317977213,169.28215266023227,22.769704842328814,0.13450741548655806,6.348081633744872,87.39055309408202
15,7.416407864998739,24,22.825356391083684,1.2566370614359172,1.898036041305656,4.618224972884383,1.101412181250002,169.28215266023227,3.4578666986657915,0.020426646544400382,1.1699484257866302,58.44475331100678
